TF,sensitivity,balanced accuracy,MCC,f1 macro,f1 micro,f1 weighted,aver_TF_PI,motif_binding_context_value,aver_TF_IPM_pred,w_aver_TF_CoOcc
ABI3VP1_tnt,0.1674,0.565,0.296,0.600,0.949,0.932,0.176,0.790,0.266,3.180995
AP2EREBP_tnt,0.8880,0.849,0.750,0.873,0.942,0.940,0.323,0.375,1.668,2.928377
ARF_ecoli,0.3702,0.658,0.437,0.705,0.958,0.951,0.130,NA,NA,2.884205
ARF_tnt,0.0032,0.502,0.043,0.498,0.979,0.968,0.122,1.000,0.000,5.657895
ARID_tnt,0.3216,0.627,0.408,0.681,0.984,0.980,0.187,0.939,0.064,4.364326
BBRBPC_tnt,0.7362,0.836,0.701,0.850,0.983,0.983,0.241,0.474,1.109,2.429596
BES1_tnt,0.5176,0.692,0.503,0.743,0.995,0.995,0.141,0.958,0.044,5.074262
bHLH_tnt,0.6895,0.793,0.644,0.820,0.942,0.939,0.219,0.738,0.355,3.24703
bZIP_tnt,0.7960,0.799,0.630,0.815,0.932,0.931,0.229,0.751,0.332,2.94966
BZR_tnt,0.7181,0.804,0.656,0.827,0.992,0.992,0.197,0.940,0.063,4.439429
C2C2dof_tnt,0.9148,0.843,0.690,0.845,0.929,0.929,0.221,0.770,0.299,2.920035
C2C2gata_tnt,0.7107,0.806,0.631,0.816,0.974,0.974,0.225,0.830,0.205,2.553951
C2C2YABBY_tnt,0.0650,0.526,0.175,0.545,0.983,0.976,0.111,0.944,0.060,5.447227
C2H2_tnt,0.3786,0.616,0.351,0.648,0.872,0.847,0.131,0.928,0.077,2.406453
C3H_tnt,0.4972,0.683,0.473,0.727,0.959,0.954,0.151,0.972,0.029,4.18397
CAMTA_tnt,0.0654,0.522,0.168,0.540,0.995,0.992,0.116,0.984,0.016,6.059701
CPP_tnt,0.8584,0.853,0.683,0.841,0.967,0.967,0.201,0.831,0.203,2.670565
E2FDP_tnt,0.5703,0.743,0.608,0.796,0.992,0.992,0.145,0.940,0.064,2.494201
EIL_tnt,0.0000,0.500,0.000,0.499,0.998,0.997,0.000,NA,NA,0
FAR1_tnt,0.3605,0.639,0.407,0.690,0.999,0.998,0.141,0.980,0.020,5.794964
G2like_tnt,0.8629,0.827,0.650,0.825,0.925,0.925,0.204,0.811,0.233,2.478966
GeBP_tnt,0.3864,0.662,0.467,0.717,0.982,0.979,0.132,0.982,0.018,3.215644
GRF_tnt,0.0253,0.508,0.105,0.513,0.987,0.980,0.000,1.000,0.000,1.806452
HB_tnt,0.8837,0.844,0.672,0.836,0.930,0.931,0.254,0.909,0.100,3.42962
Homeobox_ecoli,0.4183,0.668,0.449,0.715,0.983,0.981,0.229,NA,NA,5.009911
Homeobox_tnt,0.6853,0.751,0.547,0.772,0.933,0.930,0.184,0.804,0.243,4.017207
HSF_tnt,0.7224,0.764,0.609,0.800,0.959,0.956,0.198,0.783,0.277,2.475844
LOBAS2_tnt,0.7235,0.765,0.574,0.786,0.947,0.945,0.225,0.631,0.585,2.978697
MADS_tnt,0.0000,0.500,0.000,0.487,0.949,0.924,0.000,NA,NA,0
mTERF_tnt,0.4603,0.686,0.492,0.736,0.992,0.991,0.156,0.842,0.187,4.666502
MYB_tnt,0.7871,0.761,0.560,0.778,0.857,0.852,0.205,0.782,0.278,2.720519
MYBrelated_tnt,0.8323,0.810,0.635,0.817,0.883,0.881,0.234,0.653,0.531,2.631933
NAC_tnt,0.7396,0.705,0.513,0.740,0.860,0.845,0.243,0.805,0.242,2.796438
ND_tnt,0.2812,0.608,0.367,0.659,0.987,0.984,0.174,0.864,0.158,3.340242
Orphan_tnt,0.4846,0.708,0.512,0.749,0.972,0.969,0.182,0.951,0.052,4.408641
RAV_tnt,0.0000,0.500,0.000,0.494,0.978,0.967,0.000,NA,NA,0
REM_tnt,0.7138,0.806,0.624,0.812,0.963,0.962,0.202,0.724,0.381,2.869756
RWPRK_tnt,0.0000,0.500,0.000,0.495,0.981,0.972,0.000,NA,NA,0
S1Falike_tnt,0.4070,0.694,0.495,0.740,0.988,0.987,0.197,0.972,0.029,3.370289
SBP_tnt,0.7738,0.820,0.705,0.850,0.966,0.964,0.202,0.899,0.113,2.923688
SRS_tnt,0.4342,0.689,0.429,0.713,0.979,0.978,0.141,0.800,0.251,2.322422
TCP_tnt,0.0000,0.500,0.000,0.497,0.988,0.982,0.173,NA,NA,0
Trihelix_tnt,0.5346,0.678,0.471,0.721,0.919,0.908,0.000,0.748,0.336,3.294236
WRKY_tnt,0.8633,0.834,0.692,0.845,0.945,0.944,0.219,0.742,0.347,2.582512
zfGRF_tnt,0.4344,0.676,0.478,0.728,0.996,0.996,0.163,0.987,0.013,3.771531
ZFHD_tnt,0.8282,0.802,0.640,0.819,0.931,0.929,0.228,0.701,0.427,3.416223
